name,id,region,count,size,countpsqmi,count-total,countptotal
Pakistan,PAK,West and Central Asia,101,307374,0.328589926,2375,0.042526316
Qatar,QAT,West and Central Asia,33,4468,7.385854969,917,0.035986914
Saudi Arabia,SAU,West and Central Asia,61,830000,0.073493976,2264,0.026943463
Syria,SYR,West and Central Asia,72,71498,1.007021175,1252,0.057507987
Tajikistan,TJK,West and Central Asia,16,54595,0.293067131,620,0.025806452
Turkey,TUR,West and Central Asia,186,783356,0.237439938,2063,0.090159961
Turkmenistan,TKM,West and Central Asia,26,188456,0.137963238,767,0.033898305
United Arab Emirates,ARE,West and Central Asia,45,32278,1.394138422,1500,0.03
Uzbekistan,UZB,West and Central Asia,22,172742,0.127357562,688,0.031976744
West Bank,WLF,West and Central Asia,0,2263,0,0,0
Yemen,YEM,West and Central Asia,60,203850,0.294334069,2635,0.022770398
